,2021-07-01,2021-08-01,2022-01-01,2022-03-01,2022-06-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01
0,0.030006600905369663,-0.0036657453863393474,-0.024647219542517806,-0.025187256447202655,-0.009270071635492538,-0.015223631989131459,0.004425752261146609,0.019066109577694723,-0.031588633206657946,-0.0076117869968017615,-0.0043164534819531974
1,0.0016739445028852717,-0.03562175983315874,-0.05951619302350064,-0.03662474713221231,-0.049440863239040844,-0.02072762560105401,0.0397176195484743,-0.012437254764566807,-0.0007992602530286774,-0.023999731593779217,0.06740841016000976
2,-0.04096572459217729,-0.01657865905226008,,-0.07391940899644722,-0.053171736104330236,-0.024110958267806737,0.025465477542536252,-0.0201808336019067,0.02688784515183107,-0.015724528545904004,
3,0.016245289023846254,-0.07048449509878552,,,-0.040184033949591136,-0.020431813948326383,0.030500113926971828,0.016280642246466526,0.000642021535095072,-0.02979177781596909,
4,0.002494717600399987,-0.0771997053998863,,,-0.034374812844746305,-0.009648883986006496,0.02107337228991968,-0.0024149241820747847,0.019135131973565755,0.00817328667688777,
5,0.009971104838797373,,,,-0.046375913286397674,0.024644819709769727,0.03436014357381012,-0.014303946056579031,0.011140652119939087,-0.024158273206948966,
6,-0.016282167209866527,,,,-0.029100164658599992,0.04091434440975705,0.03535068582762291,0.001776207314628575,-0.008620820680386831,-0.018565746633401714,
7,-0.02708427736420882,,,,-0.05321967487779222,,0.047424153066162766,0.020105680337166865,0.00039382186388725593,-0.031039527477823237,
8,-0.046738382991482474,,,,-0.0227710609883911,,,0.04163730590597847,-0.021135157281250816,-0.03833408386314274,
9,-0.023512417591039947,,,,-0.023398132266086114,,,0.03310122432713758,-0.029034612828816586,-0.029521635234986743,
10,-0.04515128586520678,,,,-0.035857465452252546,,,-0.006650893349318787,-0.02589696598648472,-0.03686187171495847,
11,-0.06414706175339502,,,,-0.012031987877541894,,,-0.013466222148136975,-0.02429346492678386,-0.031475678282011366,
12,-0.06581924142080031,,,,-0.01257456005179347,,,-0.01261822198266227,-0.02635676445014501,-0.016192471125452634,
13,0.0458404576643856,,,,-0.018377597229692233,,,-0.017141278448876474,-0.01003376269843348,0.016290123045106686,
14,0.06438564796022561,,,,-0.0074467174090142585,,,-0.05626084091939809,0.013465999194302913,-0.000970468146303638,
15,0.05675789554769706,,,,0.0077425894834939335,,,,0.005397736830902833,-0.0175800808856319,
16,0.052336377265580714,,,,0.03172625642487281,,,,-0.01232369384692844,-0.0012606814987916604,
17,0.04867374487584408,,,,-0.01217012228544867,,,,-0.02811848182489718,-0.013582589688530655,
18,0.045765819936154584,,,,0.009768199754048634,,,,-0.019696783889854963,-0.009051371602676328,
19,0.004643546740980886,,,,0.04526489503811226,,,,-0.033691037201309504,-0.028632330872654155,
20,-0.027125953056652996,,,,0.021022033373433002,,,,0.0038704667839910556,-0.03970755998939679,
21,-0.008194467210728362,,,,0.04153539370892978,,,,-0.02835052391105375,0.02759025840463325,
22,-0.06146718639563997,,,,0.04924408538091796,,,,-0.022942492786112156,0.04887334164985613,
23,-0.0687162571026767,,,,0.023513131506584628,,,,-0.0350849461805145,,
24,-0.06187640752980461,,,,0.04303169114525951,,,,-0.04241614726053222,,
25,-0.043129474395233514,,,,0.01934369070099895,,,,-0.03323913209658835,,
26,-0.06322735037130345,,,,0.0623077089727464,,,,-0.040543140008459044,,
27,-0.043141093534563524,,,,0.05705914744693752,,,,-0.035193175143612976,,
28,-0.021976514277759707,,,,0.05390968688520403,,,,-0.020421535663875945,,
29,0.014419728248699082,,,,0.0446084500759385,,,,0.011503334778363516,,
30,0.0024891135929776542,,,,0.04381906269589697,,,,-0.004979284196635403,,
31,-0.04221311141638995,,,,0.06307961291871145,,,,-0.02129757774723351,,
32,-0.07374840865297227,,,,0.048611274310427666,,,,-0.0032840091086359102,,
33,,,,,0.07025270536174477,,,,-0.013931583342933873,,
34,,,,,,,,,-0.009860301681343886,,
35,,,,,,,,,-0.028916157278595644,,
36,,,,,,,,,-0.03782065395836254,,
