,2021-02-01,2021-03-01,2021-04-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-05-01,2022-08-01,2022-09-01,2022-11-01,2022-12-01,2023-01-01,2023-04-01
0,-0.03533460086332596,-0.017247834796901174,0.01950490272435479,-0.04062615941012104,-0.025305135530704348,-0.004596925824255305,-0.06933850356662052,0.05493673996296167,0.024761071883130814,0.09649329822743713,0.009376131886552397,-0.018001956348093984,-0.05961424841450391,-0.06790078255561571,0.06101054120510119,-0.045186265058819064,-0.04366281279245232,-0.03391764614867743
1,-0.010535676070127398,-0.004231045297909297,0.0548795217190996,-0.039221211639539066,-0.023932649734065947,0.04062029047564808,-0.09919686118173932,0.05619435083064772,0.05012930460643883,0.11948811539265325,-0.044842132358114295,-0.0647805327179789,-0.0670292338717573,-0.09152099391177959,0.11101584958715938,-0.0711902588533273,-0.01849836402640026,-0.016731411243566807
2,-0.018489431676014245,-0.005525421473743908,,-0.036315836985658545,-0.07541107037189798,0.008818456594690272,-0.08556146308902157,0.11941778732888064,0.026244875948369994,0.09874034292191647,-0.04522150742154496,,-0.08360887787963245,-0.05573882526773577,0.1770412140888471,-0.09708231235489206,0.028329307630907685,-0.027313917747080918
3,0.0068546987192728,-0.007410317583290471,,-0.07037947113665044,,0.030547565114459996,-0.06533362150010458,0.13090423124634842,-0.013227317923859339,0.1017039385688765,-0.043590763022189005,,,-0.05811275101085034,,,0.03140209209876321,-0.01702002509965217
4,0.003196509739733955,-0.004611871639799592,,-0.09292225171812774,,0.021115876196557526,0.0009824846482446858,0.15055129480459417,-0.027696082196982275,0.0871748155677361,0.005588662562889368,,,-0.04893915343668809,,,0.03425051650888733,0.0060516628950040285
5,-0.01186341365058885,-0.027278757407281695,,-0.11918957514727946,,0.008851991976273066,0.07040093798280367,0.11307406167251433,-0.04561181413274884,0.06619914121362935,-0.05053276726712186,,,0.036090382570593604,,,0.06000682063468332,0.010206621199652322
6,-0.017482539545451647,-0.026250364068057586,,-0.08375646291544558,,-0.042147977589297,0.11035257168826007,0.1335839569022852,-0.07361617248873253,0.05587554684395357,-0.04584994855347713,,,0.028739770232981243,,,0.041487234786163896,0.013999662323814555
7,-0.05178097704249973,-0.02844982687844677,,-0.08334539807240471,,0.049104440670263205,0.07877468470100357,0.07924210188271541,-0.026875807352248593,0.038656971507036175,-0.042139167363166585,,,0.06597451587970316,,,0.062230832206935816,0.03836611011314872
8,-0.05587682583813347,-0.01467497081857827,,-0.07625296312483243,,0.059803824588787524,0.07668631868972842,0.020809884420087243,-0.03383947693131706,0.04247293200740332,-0.03581903772674977,,,0.016026705311189104,,,0.015197902391655305,0.020052463437627566
9,-0.045513165484373896,-0.03309809829348609,,-0.067541519703611,,0.05495492373733635,0.13172921171782903,0.07872324620878768,-0.04741408596328789,0.035911460172044496,-0.0239871471337465,,,0.02814900374717144,,,0.06597748391610914,0.02845075064278113
10,-0.05177092147428075,-0.028594702778334202,,-0.059710889805819956,,0.007234551323171967,,0.045635121103795306,-0.17640276174101688,0.03256115885152555,-0.026516059214610976,,,0.06044739747200989,,,0.03483889486682479,0.03698023333610667
11,-0.03998789056800911,3.0079370469948685e-06,,-0.07970754686779269,,-0.06294379886314916,,0.02034085217967352,,-0.0011680089736820776,0.007276394300482103,,,0.010949991533298231,,,0.08538542755059453,0.061310839897783964
12,-0.004356660452099259,0.02899635339808526,,-0.062135958062492835,,-0.007888020945619356,,0.04083001645531059,,0.011425305991416224,0.004169908816714418,,,0.03278018763192048,,,0.050569367553987554,
13,-0.016316186601299076,0.04062399913135595,,-0.11474966527864783,,-0.057403598937175726,,0.002963577711043719,,0.012223305303693088,-0.04095831565717312,,,0.09008535938610773,,,0.09803314757715231,
14,0.0037067786645583745,0.017739194078219,,-0.09821033233273979,,-0.08878925445597607,,-0.0692498566534967,,-0.0006900394923929909,0.028297746676615,,,0.08885748840213825,,,0.06568003581075033,
15,-0.007951735714740504,0.03181112651843465,,-0.08409586366084987,,-0.1101820971865961,,-0.11785123261411279,,0.017473060931543216,0.01800166741711795,,,0.0858150016100625,,,0.016502182324710013,
16,-0.024552879697035568,-0.009442949187554728,,-0.13241939408798842,,,,-0.08182957365466592,,0.008247062343868627,-0.04332431089796174,,,0.10156461340133571,,,0.03420544083162902,
17,-0.017561505360298213,0.030871266259071994,,-0.17716889710556927,,,,-0.0544995945247706,,0.02582700882553013,0.010870311129259846,,,0.07926028428863319,,,0.039019548378791846,
18,-0.0007034567376549283,0.06712747262343344,,,,,,-0.09713465714004954,,-0.026506321337183003,0.05795272874566004,,,0.11696659810156174,,,0.009539190359999061,
19,-0.032196555353030565,,,,,,,-0.09008209265492173,,-0.02613355749170365,0.03873156111132836,,,0.1321668987832929,,,-0.05215643982294704,
20,-0.017247839906715967,,,,,,,-0.13855403534854993,,-0.025254952001257713,0.04888606999485745,,,0.17098397500746376,,,-0.020539181146342678,
21,-0.015482500700976232,,,,,,,-0.1027460841614225,,0.021618825174971157,0.07375269831567621,,,,,,0.009425299721034008,
22,-0.017751685104789416,,,,,,,-0.13504163342563302,,-0.03510322892305817,0.06092802357594307,,,,,,-0.027224056255216844,
23,-0.017762652425332703,,,,,,,-0.08326206651781387,,-0.029906717979649944,0.10200343752146335,,,,,,0.019629060885846705,
24,-0.04248323437251811,,,,,,,-0.06273293672194491,,-0.025008580657909008,0.08862998544703471,,,,,,0.0016500661417007123,
25,-0.04300629757585073,,,,,,,-0.11209245540950619,,-0.01918351500886928,0.11358184946967143,,,,,,0.025975672384233484,
26,-0.045883374855272496,,,,,,,-0.23475153989602848,,-0.005157368351049296,0.09053113753938291,,,,,,-0.04683664525017406,
27,-0.03491915490960462,,,,,,,,,-0.008741906004114952,0.082916603933886,,,,,,0.01416907419758573,
28,-0.05199516386757663,,,,,,,,,0.02368542545886454,0.08227934808316162,,,,,,-0.025185304539127706,
29,-0.05164015954285839,,,,,,,,,0.020574756670296512,0.06852041146802312,,,,,,-0.06107310779705344,
30,-0.022892971405458873,,,,,,,,,-0.02454928449879068,0.07798662674593881,,,,,,-0.007840980712456869,
31,0.005282203070322122,,,,,,,,,0.04387866789325123,0.054770592390044115,,,,,,-0.019758314945985234,
32,0.015543064292146358,,,,,,,,,0.03269058814787096,0.05778493436942567,,,,,,0.017327918602313197,
33,-0.006945862002403658,,,,,,,,,-0.029433730325098217,0.05673764755833188,,,,,,-0.004431834086162212,
34,0.0067301916792250616,,,,,,,,,0.025199840779495553,0.048809714818691674,,,,,,0.04592399458299212,
35,-0.029932814165416932,,,,,,,,,0.0709138415408459,0.10398695076966513,,,,,,0.056752710563396924,
36,0.006968412872771168,,,,,,,,,,0.09564501231631128,,,,,,0.05892821527552261,
37,,,,,,,,,,,0.10364415017087447,,,,,,0.1377453590218316,
38,,,,,,,,,,,0.0847817418176331,,,,,,,
