,2013-01-01,2013-07-01,2014-01-01,2014-02-01,2014-03-01,2014-05-01,2014-06-01,2014-11-01,2015-04-01,2015-06-01,2015-07-01,2015-08-01,2016-02-01,2016-03-01
0,0.03699690193635696,0.0036417666945345317,0.08912816317029537,0.022616432105887263,-0.027590487769557637,-0.010095703077636742,0.01604346249208488,-0.03583421588034552,0.02004825397771537,-0.020314236178971434,-0.038049353173879474,0.06908101670112732,-0.0033640396431700026,0.004999177451875336
1,0.04632005170582598,-0.007134223245396365,,0.018410375176506566,-0.032240667142755974,0.039559456301209384,0.01993620752293257,-0.02134663101786627,0.00955686817428747,-0.1169465838387147,-0.08202580134156756,,0.01238338928092686,-0.044219398305512414
2,0.05318899702828217,-0.004066425602556656,,0.02664615491843403,-0.027050007095567707,0.0407385388042103,0.006109074700580752,-0.022481937499836846,-0.024639983836403534,,-0.10340009319367605,,0.012690435287683766,
3,0.03720855827624714,0.012360537772361457,,-0.015459850930111152,-0.07633477327617122,0.034882805793166494,0.021768781886392752,-0.03877898283942649,-0.011180951794176774,,,,0.00437177943875966,
4,0.04058919045094678,0.005721360571695033,,-0.012805883601278545,,0.04789395431054544,0.059121464519548805,-0.035858637281730665,-0.049422709390485764,,,,0.0334367661227124,
5,0.016457350675134208,0.043982685593345394,,-0.010412738243980257,,,,-0.02800781105728678,-0.0835551215867989,,,,0.014196987535260774,
6,0.012964877581089773,0.10805425503990174,,-0.005847178877534276,,,,-0.049094846677163684,-0.17966272787332027,,,,0.01398456815676452,
7,-0.07903192860891517,,,0.006528638760748606,,,,-0.0728812130772698,,,,,0.014934208975797336,
8,,,,-0.026752539231852168,,,,-0.10332175469824456,,,,,0.06367910594200987,
9,,,,-0.031074153897637125,,,,,,,,,,
10,,,,-0.04117591209007054,,,,,,,,,,
11,,,,-0.040524779264079935,,,,,,,,,,
12,,,,-0.030935148706808135,,,,,,,,,,
13,,,,-0.04369494630833559,,,,,,,,,,
14,,,,-0.03538441723041874,,,,,,,,,,
15,,,,-0.05479040343358488,,,,,,,,,,
16,,,,-0.0806327752997742,,,,,,,,,,
