,2021-08-01,2021-09-01,2021-11-01,2021-12-01,2022-04-01,2022-06-01,2022-10-01,2023-01-01,2023-02-01,2023-03-01,2023-05-01
0,-0.01227174415907295,-0.00556166729243901,-0.0031116586416746195,0.015465256938524186,-0.019409867755778576,0.007575066347442427,-0.014925346920555665,0.006023436569525975,-0.009766650037740243,0.009030672622382552,-0.018817612116869498
1,-0.011468125256021366,-0.004523897466378157,-0.003540360771713713,0.0032670241470963424,,0.009807873390078048,-0.02023294707468845,0.002993933344286548,-0.009821135870906605,-0.0016727039200741256,-0.01861252107583833
2,-0.016546094760093055,-0.0011628384577790918,-0.01524434155416765,0.008506216316139459,,0.009104383011522943,,0.0024136506262233404,0.007713350694339205,0.0016224146774237447,0.0010808670854052238
3,,0.004993414251104111,-0.020079261417720762,0.012249980163066887,,0.009135295157301715,,-0.0037760755044107253,0.020008690601991175,0.009690964179302153,0.016641656603674226
4,,0.010658537082740782,,0.018553078088044406,,0.015028812609746978,,-0.007289244732644695,,0.012520813387306262,0.008020963670615222
5,,0.02741424118440805,,0.025984158508916444,,,,-0.009656458786579947,,0.019662142652995485,0.0034008262228477637
6,,,,,,,,0.0040982043947568325,,0.010263655442060982,0.002082491881736148
7,,,,,,,,-0.0001525453427186907,,0.013184582262950828,-0.0014770319838666168
8,,,,,,,,-0.0021988852877923293,,0.009172820007472993,0.003133077419775976
9,,,,,,,,-0.012597992617068288,,-0.00019773185328109122,0.007616859588542635
10,,,,,,,,-0.0019568630569637424,,-0.0013449028573391253,-2.5264596846374943e-05
11,,,,,,,,-0.004418687053090231,,-0.005469272202804243,0.0032553915973059233
12,,,,,,,,-0.004367449609719243,,-0.0017189576869440781,0.020138217285198268
13,,,,,,,,-0.0013069913240029152,,-0.005794020284357826,0.03254718615714758
14,,,,,,,,-0.0018377469129153834,,-0.006686640680447553,
15,,,,,,,,0.005980978969022832,,-0.01114587175840187,
16,,,,,,,,-0.0002207867973809119,,-0.02444466687676261,
17,,,,,,,,-0.014330525393112303,,-0.004941355197128461,
18,,,,,,,,0.00687179953011996,,1.8540701293812134e-05,
19,,,,,,,,-0.00469693433058227,,0.01275573027129484,
20,,,,,,,,-0.01383973082763057,,0.011107129255053083,
21,,,,,,,,-0.014380951954914512,,0.00022535960179581593,
22,,,,,,,,0.0026681474781071746,,0.00231082386755066,
23,,,,,,,,0.014237918216047696,,0.014548355814682834,
24,,,,,,,,0.004751160877026761,,-0.005647215376690662,
25,,,,,,,,0.007692225047192025,,-0.014561360915611443,
26,,,,,,,,0.004419785673128729,,-0.01676323225644416,
27,,,,,,,,0.0007858105491886924,,-0.005617496005090539,
28,,,,,,,,-0.013788071595657536,,0.000446200972008981,
29,,,,,,,,-0.01473804368406273,,0.017540072005976848,
30,,,,,,,,-0.03176088590352033,,0.009857298541430026,
31,,,,,,,,,,0.0027284448932289873,
32,,,,,,,,,,0.01015199743232098,
33,,,,,,,,,,-0.004460529275057246,
34,,,,,,,,,,-0.010579579481904577,
35,,,,,,,,,,-0.02375129037402801,
36,,,,,,,,,,-0.02034030830491762,
